,questions,answers
94,В чем разница между «приближением функции» и «оптимизацией функции»?,"Существует четкая разница между аппроксимацией функций и оптимизацией функций.
Оптимизация функций - это процесс поиска оптимумов целевой функции. Это набор входных переменных, предоставляемых функции, которая приводит к минимальной или максимальной оценке или баллу от функции оптимизации. Каждая переменная часто имеет определенный диапазон значений, а функция часто бывает сложной, нелинейной, прерывистой, невыпуклой, шумной, медленной для оценки и всевозможными другими математическими свойствами, которые означают, что мы не можем просто вычислить оптимум аналитически. Обычно оптимизация функций решается с помощью процедур, которые обеспечивают эффективную навигацию или поиск в пространстве переменных.
Аппроксимация функции - это процесс оценки распределения вероятностей целевой функции. Это достигается с помощью ограниченного набора выборок из целевой функции, где модель стремится минимизировать ошибку между оценкой функции и фактическими наблюдениями. Аппроксимация функции - это общая структура для контролируемого обучения в машинном обучении, где мы стремимся аппроксимировать функцию сопоставления между входными данными и выходными данными для набора данных прогнозного моделирования регрессии и классификации.
Оптимизация функций проще, чем аппроксимация функций.
Для оптимизации функций и аппроксимации функций используются разные алгоритмы.
Аппроксимация функций часто решается с использованием оптимизации функций, например минимизация потерь или ошибок."
95,В чем разница между «Керас» и «тф.керас»?,"Есть разница между Keras и tf.keras.
Keras - это автономная библиотека Python с открытым исходным кодом для глубокого обучения. Он позволяет определять, обучать и оценивать модели глубокого обучения с помощью простого интерфейса, но вычисления могут выполняться с использованием любой из ряда эффективных серверных математических библиотек, таких как TensorFlow, Theano и CNTK.
tf.keras - это реализация интерфейса Keras в TensorFlow. Исторически модели глубокого обучения было неудобно определять и использовать в TensorFlow. Версия 2.0 TensorFlow представила новый интерфейс Keras для определения, обучения и оценки моделей глубокого обучения. В реализации принимал участие разработчик автономной библиотеки Python Keras. Он называется tf.keras, поскольку «tf» означает TensorFlow, а tf.keras - это идиома программирования для использования API в Python.
Автономный Keras остается независимым и позволяет использовать бэкенды, отличные от TensorFlow.
Tf.keras привязывает вас к TensorFlow и направлению Google в отношении платформы.
По состоянию на конец 2019 года автономный проект Keras рекомендует использовать tf.keras в будущем, хотя это заявление было сделано разработчиком, который запустил автономный проект Keras и который участвовал в реализации tf.keras и может иметь конфликт интересов.
В настоящее время мы рекомендуем пользователям Keras, которые используют Keras с несколькими серверными приложениями с серверной частью TensorFlow, переключиться на tf.keras в TensorFlow 2.0. tf.keras лучше поддерживается и имеет лучшую интеграцию с функциями TensorFlow (активное выполнение, поддержка распространения и другие).
- Домашняя страница проекта Keras, по состоянию на декабрь 2019 г.
Они оба делают одно и то же. Вы можете использовать ту платформу, которую считаете лучшей.
Я рекомендую использовать автономный Keras вместо tf.keras, по крайней мере, пока. Он существует уже более 4 лет и работает хорошо.
Все мои руководства были написаны с использованием автономной версии Keras.
Если вы решите использовать платформу tf.keras, мои учебники можно легко адаптировать, изменив операторы импорта с «import keras» на «import tensorflow.keras»."
96,В чем разница между регуляризацией «L1» и «L2»?,"Регуляризация относится к методам, используемым для изменения целевой функции с целью уменьшения переобучения модели.
L1 и L2 регуляризация относятся к методам вычисления длины вектора параметров модели (называемой векторной нормой) для того, чтобы эту длину можно было минимизировать как часть подгонки модели.

L1 или L1-норма вычисляется как сумма абсолютных значений вектора. Пример использования этой формы регуляризации используется в регрессии лассо.
L2 или L2-норма вычисляется как сумма квадратов значений вектора. Пример использования этой формы регуляризации используется в Ridge Regression.

Алгоритм регрессии ElasticNet использует комбинацию регуляризации L1 и L2.
Подробнее о том, как вычислить нормы вектора L1 и L2, читайте в публикации:

Мягкое введение в векторные нормы в машинном обучении"
97,В чем разница между «многоголовым» и «многоканальным» CNNS?,"Многоголовая CNN - это модель, которая имеет более одного входа или «головки» для чтения ввода. Это часто позволяет модели получать доступ к одному и тому же входному изображению несколько раз, используя ядро ​​разного размера, и, в свою очередь, позволяет параллельно извлекать различные функции из данных.
Многоканальная CNN - это модель, которая принимает входные данные с несколькими переменными или «каналами», такими как красный, зеленый и синий каналы для изображения для 2D CNN или параллельные временные ряды в случае 1D CNN. Все каналы будут читаться вместе с использованием одинаковых фильтров.
Например, многоголовые и многоканальные CNN для прогнозирования временных рядов см. В сообщении:

Как разработать модели сверточной нейронной сети для прогнозирования временных рядов"
98,В чем разница между «распознаванием объекта» и «обнаружением объекта»?,"Распознавание и обнаружение объектов - это проблемы компьютерного зрения, которые можно решить с помощью сверточных нейронных сетей с глубоким обучением.

Обнаружение объектов - это конкретная задача компьютерного зрения, которая включает в себя идентификацию, обнаружение и классификацию одного или нескольких объектов на фотографии.
Распознавание объектов - это более широкая проблема распознавания объектов на фотографиях и включает в себя подзадачи классификации изображений, локализации объектов, обнаружения объектов, сегментации объектов и т. Д.

Распознавание объектов - это общий класс проблем или область исследования, тогда как обнаружение объектов - это один конкретный тип задачи распознавания объектов."
99,В чем разница между «переобучением» и «недообучением»?,"Традиционно результат запуска алгоритма обучения для набора данных называется соответствием.
Мы также можем называть подгонку моделью.
Модель переобучения - это та, которая соответствует случайному шуму в выборке данных.
Это означает, что модель может хорошо работать с обучающими данными, не обобщается на новые данные и хорошо работает с тестовыми данными.
Модель недостаточного соответствия - это модель, которая не отражает достаточного количества структуры в выборке данных.
Это означает, что модель будет плохо работать на обучающих и тестовых наборах данных. Требуется больше или лучше.
Под хорошим соответствием понимается модель, которая находит подходящий баланс между фиксацией структуры в наборе данных и обобщением для новых данных. Он хорошо работает с наборами данных для обучения и тестирования.
Вы можете узнать больше о переоборудовании и неполном оснащении здесь:

Переоснащение и недооценка алгоритмов машинного обучения"
100,"В чем разница между «выборками», «временными шагами» и «функциями» для ввода LSTM?","В Keras вход LSTM (аргумент input_shape) должен быть определен как кортеж из (временных шагов, функций), например:









...
model = Последовательный ()
model.add (LSTM (..., input_shape (50, 1)))




123

... model = Sequential () model.add (LSTM (..., input_shape (50, 1)))





Модели нейронных сетей обычно подходят для нескольких примеров ввода и вывода, называемых образцами. Например, это одна строка данных в электронной таблице, разделенная на элементы X и y. Если это новая идея, посмотрите этот пост:

Как работают алгоритмы машинного обучения (они изучают отображение ввода и вывода)

В задаче прогнозирования последовательности выборка включает последовательность входных данных (например, временные шаги), где есть одно или несколько наблюдений на каждом временном шаге (например, признаки).
Следовательно, входная часть ваших обучающих данных (X) должна быть трехмерным массивом с размерами [образцы] [временные шаги] [функции], и у вас должен быть хотя бы один образец, один временной шаг и одна функция.
На практике у вас, вероятно, будут тысячи или миллионы выборок, возможно, более 10 и менее 400 временных шагов и по крайней мере 1 функция. Судя по тому, что я читал, LSTM не работают с более чем 200-400 шагами по времени.
Модель может работать с входом с 1 временным шагом (что на практике необычно), но может иметь память для выборок в пакете до того, как внутреннее состояние модели будет сброшено.
Например, вы можете отслеживать температуру (функция) и давление (другая функция) каждую секунду (временные интервалы) в течение недели (604 800 секунд). Вы должны разбить данные за годы на дискретные входные примеры (образцы), например пары вход-выход для обучения модели контролируемого обучения, такой как LSTM или CNN. Возможно, вы выберете неперекрывающиеся последовательности продолжительностью 60 секунд, поэтому у вас могут быть тысячи выборок, 60 временных шагов и 2 функции или форма ввода LSTM [10080, 60, 2] (напомним, что 604 800 секунд можно разделить на 10 080 60-секундных блоки).
В качестве другого примера, если у вас есть 20 временных шагов данных для 2 функций, вы можете представить их как 20 отсчетов с 1 временным шагом [20, 1, 2] или как 1 отсчет с 20 временными шагами [1, 20, 2]. В первом случае у вас будет 20 образцов, то есть 20 примеров ввода и вывода, и ваша модель сделает 20 прогнозов. В последнем случае у вас есть 1 выборка с 1 входом и 1 выходом, и модель сделает 1 прогноз, который накапливается за 20 временных шагов. Обратите внимание: это крайний пример, поскольку набор данных из 20 примеров очень мал, и представление с 1 временным шагом на выборку может не иметь смысла.
В итоге:

Пример: один пример ввода, который имеет 1 или несколько временных шагов с одной или несколькими функциями на каждом временном шаге.
Временной шаг: одна часть одного примера ввода, имеющая одну или несколько функций.
Функция: одно из множества возможных наблюдений для данного временного шага.

Пример разделения временных рядов на образцы, временные шаги и функции см. В сообщениях:

Как изменить форму входных данных для сетей с долговременной краткосрочной памятью в Keras
Как подготовить данные одномерных временных рядов для сетей с долговременной краткосрочной памятью

Для обсуждения и многоразового кода для преобразования временного ряда в задачу контролируемого обучения в целом см .:

Прогнозирование временных рядов как обучение с учителем
Как преобразовать временной ряд в задачу контролируемого обучения в Python

Подробнее об использовании LSTM в целом см.

Начните здесь: Long Short-Term Memory (LSTM)

Рабочие примеры использования LSTM для прогнозирования временных рядов см.

Начните здесь: глубокое обучение для прогнозирования временных рядов"
101,В чем разница между «стандартизацией» и «нормализацией»?,"Стандартизация относится к масштабированию переменной, имеющей гауссовское распределение, при которой среднее значение равно нулю, а стандартное отклонение равно единице.
Нормализация относится к масштабированию переменной, которая имеет любое распределение, так что все значения находятся между нулем и единицей.
Возможна нормализация после стандартизации переменной.
Для получения дополнительной информации о том, как стандартизировать данные и нормализовать данные, см. Руководство:

Как использовать преобразования StandardScaler и MinMaxScaler в Python

"
102,В чем разница между «контролируемым» и «неконтролируемым» обучением?,"Обучение с учителем используется для решения задач, цель которых - научиться отображать входы и выходы.
Эти методы называются «контролируемыми», потому что процесс обучения работает как учитель, контролирующий ученика. Модель постоянно делает прогнозы, прогнозы сравниваются с ожидаемыми результатами, вычисляется ошибка и модель корректируется с использованием этих ошибок.
Примеры задач машинного обучения с учителем:

Классификация или отображение входных переменных в метку.
Регрессия или отображение входных переменных в количество.

Примеры контролируемых алгоритмов машинного обучения:

k-ближайшие соседи.
опорные векторные машины.
многослойные нейронные сети персептронов.

Неконтролируемые методы используются для решения проблемы, в которой есть только входные данные, и цель состоит в том, чтобы изучить или зафиксировать присущую интересную структуру в данных.
Эти методы называются «неконтролируемыми», чтобы отличить их от «контролируемых» методов. Учителя нет, вместо этого модели обновляются на основе многократного ознакомления с примерами из проблемной области.
Примеры проблем машинного обучения без учителя:

Кластеризация или изучение групп в данных.
Ассоциация изучения отношений в данных.

Примеры алгоритмов машинного обучения без учителя:

k-означает.
априори.
самоорганизующаяся карта нейронной сети.

Вы можете узнать больше о контролируемых и неконтролируемых методах в этом посте:

Управляемые и неконтролируемые алгоритмы машинного обучения"
103,"What is the difference between “tolerance”, “confidence” and “prediction” intervals?","Интервал допуска описывает ожидаемый диапазон наблюдений в распределении. Его можно использовать для выявления выбросов.
Доверительный интервал описывает ожидаемый диапазон для параметра распределения. Его можно использовать для описания точности или ошибки модели в среднем.
Интервал прогнозирования описывает ожидаемый диапазон для наблюдения. Его можно использовать для описания неопределенности прогноза.
У меня есть учебники, показывающие, как рассчитать каждый тип интервала в блоге."
104,В чем разница между «проверочными» и «тестовыми» наборами?,"Набор обучающих данных используется для обучения или подбора модели.
В наборе тестовых данных есть наблюдения, которые не перекрываются с набором обучающих данных и используются для оценки обученной модели. В частности, чтобы оценить мастерство модели на новой выборке данных.
Набор данных проверки обычно относится к части набора обучающих данных, отделенной и используемой в качестве набора тестовых данных, пока гиперпараметры модели настраиваются.
Вы можете узнать больше в этом посте:

В чем разница между тестовыми и проверочными наборами данных?"
105,В чем разница между «регуляризацией веса» и «ограничением веса»?,"Большие веса в нейронной сети (веса больше, чем они должны быть) являются признаком переобучения и могут сделать модель нестабильной.
И регуляризация веса, и ограничения веса - это подходы регуляризации, предназначенные для уменьшения переобучения (улучшения обобщения) модели нейронной сети.
Регуляризация веса обновляет функцию потерь, используемую во время обучения, чтобы штрафовать модель на основе размера весов, рассчитанных как векторная норма (величина), например L1 (сумма абсолютных весов) или L2 (сумма квадратов весов). Использование векторной нормы L2 часто называют «убыванием веса».
Ограничение веса - это проверка «если-то» во время оптимизации размера весов. Если срабатывает, например если размер весов, вычисленных как векторная норма (часто максимальная норма), больше, чем предварительно определенное значение, все веса масштабируются так, чтобы норма весов была ниже желаемого уровня.
Таким образом, «регуляризация веса» поощряет модель иметь небольшие веса, тогда как «ограничения веса» заставляют модель иметь небольшие веса."
106,What is the difference between a “batch” and an “epoch”?,"В нейронных сетях пакет и эпоха - это два гиперпараметра, которые вы должны выбрать при обучении сети.
Они используются в стохастическом градиентном спуске.
Выборка - это одна строка данных, включая входные данные для сети и ожидаемый результат.
Пакет - это набор образцов, которые сеть обработает, после чего веса модели будут обновлены. Модель будет делать прогнозы для каждой выборки в пакете, ошибка будет рассчитана путем сравнения прогноза с ожидаемым значением, будет оценен градиент ошибки и будут обновлены веса. Набор обучающих данных разбивается на один или несколько пакетов.
Эпоха включает один проход по набору обучающих данных. Одна эпоха состоит из одного или нескольких пакетов, в зависимости от выбранного размера пакета.
Вы можете узнать больше о разнице между партией и эпохой здесь:

В чем разница между партией и эпохой в нейронной сети?

Вы можете узнать больше о стохастическом градиентном спуске для обучения нейронных сетей здесь:

Нежное введение в мини-пакетный градиентный спуск и как настроить размер пакета"
107,В чем разница между «описательной» и «прогнозной» моделью?,"Описательная модель - это модель, обученная на исторических данных с целью понять что-то о проблеме, например, причину и следствие.
Используются более простые модели с прочной теоретической основой, которые помогают в понимании проблемы.
Описательное моделирование часто является целью прикладной статистики и эконометрики.
Прогностическая модель - это модель, обученная на исторических данных с целью делать точные прогнозы.
Могут использоваться сложные модели, которые дают мало, если вообще дают представление о том, почему делаются конкретные прогнозы.
Прогнозирующее моделирование часто является целью прикладного машинного обучения или подполя, называемого прогнозным моделированием."
108,В чем разница между «моделью» и «алгоритмом»?,"Алгоритм машинного обучения - это процедура, которая запускается на обучающих данных для создания модели.
Это процесс обучения.
Вот некоторые примеры:

Линейная регрессия.
Стохастический градиентный спуск с обратным распространением в нейронной сети.
Случайный лес.

Модель машинного обучения - это результат процесса обучения алгоритма машинного обучения.
Модель - это «программа», которая сохраняется после обучения, позже загружается и используется для прогнозирования новых данных.
Вот некоторые примеры:

Коэффициенты линейной регрессии.
Веса и структура искусственной нейронной сети.
Деревья решений из случайного леса.

Для получения дополнительной информации см. Это руководство:

Разница между алгоритмом и моделью в машинном обучении"
109,В чем разница между «параметром» и «гиперпараметром»?,"Параметры модели являются внутренними для модели и изучаются алгоритмом обучения.
Примерами параметров модели являются коэффициенты в регрессии, веса в нейронной сети и точки разделения в дереве решений.
Параметры модели - это то, что сохраняется после обучения. Они модель.
Гиперпараметры модели задаются вами, практикующим специалистом, и часто контролируют процесс обучения. Это параметры, которые нельзя узнать.
Примерами гиперпараметров модели являются количество эпох или обучающих итераций в стохастическом градиентном спуске и максимальная глубина деревьев решений.
Гиперпараметры модели находятся методом проб и ошибок, с помощью поиска по сетке / случайного поиска или путем сравнения примеров, которые работали в прошлом.
Подробнее см. Сообщение:

В чем разница между параметром и гиперпараметром?"
110,В чем разница между «выборкой» и «генеральной совокупностью»?,"В статистике выборка и генеральная совокупность используются для обозначения данных.
Выборка состоит из одного или нескольких отдельных наблюдений, взятых из домена.
Популяция - это идеализированное понятие всех возможных наблюдений, из которых можно извлечь конкретные образцы наблюдений.
В статистике мы часто оцениваем параметры распределения данных в выборке."
111,Что такое теорема об отсутствии бесплатного обеда?,"Как правило, теорема об отсутствии бесплатного обеда предполагает, что ни один метод машинного обучения не будет работать лучше, чем любой другой, при усреднении по всем возможным проблемам.
Теорема касается оптимизации и поиска, хотя имеет значение для прогнозного моделирования с машинным обучением, поскольку большинство методов решают проблему оптимизации для приближения функции.
Подразумевается, что не существует единого алгоритма, который был бы лучшим, не говоря уже о хорошей производительности, для всех проблем. Другими словами, все алгоритмы работают одинаково хорошо, когда их производительность усредняется для всех возможных проблем. Серебряной пули нет.
Это теоретически и предполагает, что мы ничего не знаем о проблеме, поэтому не можем использовать знание проблемы, чтобы сузить выбор алгоритмов. На практике это не так.
Хотя серебряных маркеров нет, существуют алгоритмы (такие как Random Forest и Stochastic Gradient Boosting), которые на удивление хорошо справляются со многими интересующими нас проблемами прогнозного моделирования, то есть с подмножеством всех возможных проблем.
Для получения дополнительной информации см. Статью:

Теоремы об отсутствии бесплатных обедов для оптимизации, 1997."
112,Какой математический фон мне нужен для машинного обучения?,"Не начинайте с математики.
Моя миссия - помочь вам начать и научиться прикладному машинному обучению, используя философию «учиться на практике». Я преподаю, используя подход сверху вниз и на результат.
Классический университетский способ начать с математики. Способ обучения академика машинного обучения, а не современного практикующего специалиста. Это не должно быть так сложно. Посмотреть этот пост

Ты делаешь это неправильно. Почему машинное обучение не должно быть таким сложным

Если вам нужен восходящий подход к машинному обучению, основанный на теории, я бы порекомендовал учебник или многолетнюю программу для аспирантов. Это путь к теоретическому машинному обучению и академической среде.
При этом общепризнано, что в конечном итоге вам нужно будет знать, где вы находитесь, на пересечении этих областей математики:

Линейная алгебра
Статистика
Вероятность
Исчисление

Не все из этих областей математики актуальны, только части. Также вам понадобятся пересечения этих полей. Например, линейная алгебра + статистика - это многомерный анализ, и он необходим для изучения PCA и других методов проектирования. Линейная алгебра + исчисление - это многомерное исчисление, необходимое для изучения алгоритмов глубокого обучения. Это действительно сложные темы для аспирантов, и это не место для разработчиков, которым нужно решить проблему.
Не совершайте ошибку новичков, думая, что вам нужно начать здесь. Вернитесь назад после того, как узнаете, как решать проблему прогнозирующего моделирования от начала до конца.
Изучите математику, когда будете готовы, и выучите только важные части, которые помогут вам максимально эффективно использовать метод или улучшить результаты в следующем проекте.
Прочитай это:

Машинное обучение для программистов
Метод мастерства машинного обучения

Также прочтите этот пост:

Что делать, если я плохо разбираюсь в математике"
113,Какие методы можно использовать для моделирования спорта?,"У меня нет большого опыта в моделировании наборов спортивных данных.
Тем не менее, я видел некоторый успех в использовании рейтинговых систем для подсчета очков командам в командных видах спорта.
Вы можете узнать больше о рейтинговой системе здесь:

Система оценок

Классическим алгоритмом может быть система рейтинга Эло, современным примером может служить TrueSkill от Microsoft."
114,What other machine learning books do you recommend?,"Я люблю книги.
Я читаю несколько книг в неделю, у меня большая справочная библиотека, и я всегда покупаю больше книг.
Я бы посоветовал вам много читать по машинному обучению.
Для начала вот хороший список книг по машинному обучению:

Книги по машинному обучению

У меня также есть списки книг по определенным предметам, например:

Книги по статистике для машинного обучения
Лучшие ресурсы для изучения линейной алгебры для машинного обучения
Лучшие книги по обработке естественного языка
Лучшие книги по прогнозированию временных рядов с помощью R
Практические книги по машинному обучению к праздникам
Книги по глубокому обучению
Книги по машинному обучению с R
Книги по машинному обучению Python
6 практических книг для начинающих машинного обучения
Лучшие ресурсы по машинному обучению для начала работы

Чтения книги может быть недостаточно, вы должны знать, как извлечь из этого максимальную пользу.
Этот пост даст вам несколько идей о том, как извлечь максимальную пользу из книг, которые вы читаете:

Как получить максимальную отдачу от книг и курсов по машинному обучению"
115,Какой язык программирования я должен использовать для машинного обучения?,"Конкретный язык программирования или платформа, которые вы используете, не имеет значения.

Я твердо верю, что лучше всего сосредоточиться на том, как решать проблемы машинного обучения на всех этапах (узнать больше).
При этом я думаю, что если вы не сильный программист, то Weka - лучшее место для начала, потому что вы можете работать с проблемами, не написав ни строчки кода (подробнее).
Я считаю, что Python отлично подходит для разработки моделей, которые можно запускать в производстве, это растущая платформа (подробнее).
Я думаю, что R может быть самой мощной платформой, но для этого требуется изучение нового языка программирования. Я думаю, что золотая середина для R - это разовые проекты и проекты R&D (узнать больше).

Также этот пост может помочь:

Лучший язык программирования для машинного обучения

Если вы нажали, чтобы ответить, я бы порекомендовал вам начать с Python (подробнее)."
