questions,answers
aHow do I know if a model has good performance?,"Machine learning model performance is relative, not absolute.
Start by evaluating a baseline method, for example:

Classification: Predict the most common class value.
Regression: Predict the average output value.
Time Series: Predict the previous time step as the current time step.

Evaluate the performance of the baseline method.
A model has skill if the performance is better than the performance of the baseline model. This is what we mean when we talk about model skill being relative, not absolute, it is relative to the skill of the baseline method.
Additionally, model skill is best interpreted by experts in the problem domain.
For more on this topic, see the post:

How To Know if Your Machine Learning Model Has Good Performance

"
aHow do I make predictions?,"The first step to making predictions is to develop a finalized version of your chosen model and model configuration, trained on all available data. Learn more about this here:

How to Train a Final Machine Learning Model

You will want to save the trained model to file for later use. You can then load it up and start making predictions on new data.
Most modeling APIs provide a predict() function that takes one row of data or an array/list of rows of data as input for your model and for which your model will generate a prediction.
For some examples of making predictions with final models with standard libraries, see the posts:

How to Make Predictions with scikit-learn?
How to Make Predictions with Keras?
How to Make Predictions with Long Short-Term Memory Models in Keras
How to Make Out-of-Sample Forecasts with ARIMA in Python

"
aHow do I model anomaly detection?,"An anomaly is an example that does not fit with the rest of the data.
It is an exception, an outlier, abnormal, etc.
Anomaly detection is a large field of study and I hope to write more about it in the future. I recommend checking the literature.
It is possible to treat anomalies as outliers and detect them using statistical methods or so-called one-class classification techniques.
For more on statistical methods for outlier detection, see the tutorial:

How to Remove Outliers for Machine Learning

For more on model-based approaches for automatic outlier detection, see the tutorial:

4 Automatic Outlier Detection Algorithms in Python

Time series data may contain outliers.
Again, there are specialized techniques for detecting outlier sin time series data and I hope to write about them in the future. I recommend checking the literature.
It is possible to use statistical methods to detect outliers in time series. It is also possible to treat outlier detection in time series as a time series classification task. The input to the model would be a sequence of observations and the target would be whether or not the input sequence contains an outlier.
Classification machine learning models as well as deep learning neural network models can be used such as MLPs, CNNs, LSTMs and hybrid models.
For more on using deep learning models for time series classification, you can see examples listed here:

Tutorials on Deep Learning for Time Series Forecasting

"
aHow do I prepare my data for an LSTM?,"The LSTM expects data to be provided as a three-dimensional array with the dimensions [samples, time steps, features].
Learn more about how to reshape your data in this tutorial:

How to Reshape Input Data for Long Short-Term Memory Networks in Keras

For a reusable function that you can use to transform a univariate or multivariate time series dataset into a supervised learning problem (useful for preparing data for an LSTM), see the post:

How to Convert a Time Series to a Supervised Learning Problem in Python

If you have a long time series that you wish to reshape for an LSTM, see this tutorial:

How to Prepare Univariate Time Series Data for Long Short-Term Memory Networks

If you have missing data in your sequence, see the tutorial:

How to Handle Missing Timesteps in Sequence Prediction Problems with Python

If you have a large number of time steps and are looking for ideas on how to split up your data, see the tutorials:

How to Handle Very Long Sequences with Long Short-Term Memory Recurrent Neural Networks
How to Prepare Sequence Prediction for Truncated Backpropagation Through Time in Keras

"
aHow do I run a script from the command line?,"The command line is the prompt when you can type commands to execute them.
It may be called different things depending on your platform, such as:

Terminal (linux and macos)
Command Prompt (windows)

I recommend running scripts from the command line if you are a beginner.
This means first you must save your script to a file with the appropriate extension in a directory.
For example, we may save a Python script with the .py extension in the /code directory. The full path would be:



		
		
			
			
			
			
/code/myscript.py
			
				
					
				
					1
				
						/code/myscript.py
					
				
			
		

To run the script, first open the command prompt or terminal.
Change directory to the location where you saved the script.
For example, if you saved the script in /code, you would type:



		
		
			
			
			
			
cd /code
			
				
					
				
					1
				
						cd /code
					
				
			
		

Use the language interpreter to run the script.
For example, in Python, the interpreter is “python” and you would run your script as:



		
		
			
			
			
			
python myscript.py
			
				
					
				
					1
				
						python myscript.py
					
				
			
		

If the script is dependent upon a data file, the data file often must be in the same directory as the code.
For example:



		
		
			
			
			
			
/code/mydata.csv
			
				
					
				
					1
				
						/code/mydata.csv
					
				
			
		

 
 
"
aHow do I self-study machine learning?,"I strongly believe that self-study is the path to getting started and getting good at applied machine learning.
I have dedicated this site to help you with your self-study journey toward machine learning mastery (hence the name of the site).
I teach an approach to machine learning that is different to the way it is taught in universities and textbooks. I refer to the approach as top-down and results-first. You can learn more about this approach here:

How to Get Started With Machine Learning

You do not need a degree to get started, or learn machine learning, or even to get a job applying machine learning and adding value in business. I write about this more here:

What if I Don’t Have a Degree

A big part of doing well at school, especially the higher degrees, is hacking your own motivation. This, and the confidence it brings, was what I learned at university.
You must learn how to do the work, even when you don’t feel like it, even when the stakes are low, even when the work is boring. It is part of the learning process. This is called meta-learning or learning how to learn effectively. You doing the learning, not humans in general.
Learning how you learn effectively is a big part of self-study.

Find and use what motivates you.
Find and use the mediums that help you learn better.
Find and listen to teachers and material to which you relate strongly.

External motivators like getting a coach or an accountability partner sound short-term to me. You want to solve “learning how to self-study” in a way that you have the mental tools for the rest of your life.
A big problem with self-directed learning is that it is curiosity-driven. It means you are likely to jump from topic to topic based on whim. It also offers a great benefit, because you read broadly and deeply depending on your interests, making you a semi-expert on disparate topics.
An approach I teach to keep this on track is called “small projects“.
You design a project that takes a set time and has a defined endpoint, such as a few man-hours and a report, blog post or code example. The projects are small in scope, have a clear endpoint and result in a work product at the end to add to the portfolio or knowledge base that you’re building up.
You then repeat the process of designing and executing small projects. Projects can be on a theme of interest, such as “Deep Learning for NLP” or on questions you have along the way “How do you use SVM in scikit-learn?“.
I write more about this approach to self-study here:

Self-Study Guide to Machine Learning
4 Self-Study Machine Learning Projects
Build a Machine Learning Portfolio

The very next question I get is:

Do you have some examples of portfolios or small projects?

Yes, they are everywhere, search for machine learning on GitHub, YouTube, Blogs, etc.
This is how people learn. You may even be using this strategy already, just in a less systematic way.

You could think of each lecture in a course as a small project, although often poorly conceived.
You could think of each API call for a method in an open source library as a small project.
You could think of my blog as a catalog of small projects.

Don’t get hung-up on what others are doing.
Pick a medium that best suits you and build your own knowledge base. It’s for you remember. It’s use in interviews is a side benefit, not the goal.
"
aHow do I speed-up the training of my model?,"Training machine learning models can be slow for may reasons.
This means there may be many opportunities to speed up their training.
Some high-level ideas include:

Try training your model on a faster machine (e.g. AWS EC2 instance, etc.)
Try using less training data (e.g. random sample, under sampling, etc.)
Try using a smaller model (e.g. fewer layers, few ensemble members, etc.)
Try using a more efficient implementation (e.g. different open source project, etc.)

Before you say “I can’t“, think carefully and do your homework.

Maybe you can use free credits on a cloud platform (ask).
Maybe your model is less sensitive to the size of the training dataset than you think (test it).
Maybe a smaller model will perform with little loss in skill (try it).
Maybe an lesser known implementation performs much faster than the common libraries (try it).

Also, some machine learning algorithms can accelerate their training specifically via changes to hyperparameters or model architecture.

Learning rate on many algorithms controls the speed of learning, and therefore training.
Batch size in gradient algorithms also influences the speed of learning.
Neural net layers like batch normalization can dramatically accelerate the learning.
Scaling of the input data can greatly simplify the complexity of many prediction problems.

 
"
aHow do I use cross-validation for time series forecasting?,"Generally, you cannot use k-fold cross-validation to estimate the skill of a model for time series forecasting.
The k-fold cross-validation method will randomly shuffle the observations, which will cause you to lose the temporal dependence in the data, e.g. the ordering of observations by time. The model will no longer be able to learn how prior time steps influence the current time step. Finally, the evaluation will not be fair as the model will be able to cheat by being able to look into past and future observations.
The recommended method for estimating the skill of a model for time series forecasting is to use walk-forward validation.
You can learn more about walk-forward validation in this post:

How To Backtest Machine Learning Models for Time Series Forecasting

I also have many posts that demonstrate how to use this method, search the site.
"
aHow do I use early stopping with k-fold cross-validation or grid search?,"Early stopping is a regularization technique used by iterative machine learning algorithms such as neural networks and gradient boosting.
It reduces the likelihood of a model overfitting the training data by monitoring performance of the model during training on a validation dataset and stopping training as soon as performance starts to get worse.
For more on early stopping, see the tutorial:

A Gentle Introduction to Early Stopping to Avoid Overtraining Neural Networks

k-Fold Cross-Validation is a resampling technique used to estimate the performance of a predictive model.
It works by splitting a training dataset into k non-overlapping folds, then using one fold as the hold out test dataset and all other folds as the training dataset. The process is repeated and the mean performance of the models on all hold out folds is used as the estimate of model performance when making predictions on data not seen during training.
For more on k-fold cross-validation, see the tutorial:

A Gentle Introduction to k-fold Cross-Validation

Using early-stopping with k-fold cross-validation can be tricky.
It requires that each training set within each cross-validation run be further split into a portion of the dataset to fit the model and a portion of the dataset to use by early stopping to monitor the training process.
This may require you running the k-fold cross-validation process manually in a for loop so that you can further split the training portion and configure early stopping. This would be my general recommendation to give you complete control over the process.
Grid Search is a type of model hyperparameter tuning.
It involves defining a grid of hyperparameter values to consider and evaluating the model on each in turn using a resampling technique such as k-fold cross-validation. The combination of hyperparameters that result in the best performance can the be chosen by the model.
Using early-stopping with grid search can also be tricky.
One approach might be to run early stopping on the training dataset a number of times, or with different splits of the dataset into train/validation sets, and use the mean number of iterations or epochs ran as a fixed hyperparameter when grids searching other hyperparameters.
Another approach would be to treat the model with early stopping as a modeling pipeline and grid search other hyperparameters directly on this pipeline. This does assume that you are able to split a training set into a a subset for fitting the model and a subset for early stopping as part of the grid search, which might require custom code.
"
aHow do I use ensembles?,"Ensembles are a class of machine learning method that combines the predictions from two or more other machine learning models.
There are many types of ensemble machine learning methods, such as:

Stacked Generalization (stacking or blending)
Voting
Bootstrap Aggregation (bagging)
Boosting (e.g. AdaBoost)
Stochastic Gradient Boosting (e.g. xgboost)
Random Forest
And many more…

You can learn more about ensemble methods in general here:

Bagging and Random Forest Ensemble Algorithms for Machine Learning

You can learn how to code these methods from scratch, which can be a fun way to learn how they work:

How to Implement Stacked Generalization From Scratch With Python
How to Implement Random Forest From Scratch in Python

You can use ensemble methods with standard machine learning platforms, for example:

Ensemble Machine Learning Algorithms in Python with scikit-learn
How to Use Ensemble Machine Learning Algorithms in Weka
How to Build an Ensemble Of Machine Learning Algorithms in R

Many studies have found that ensemble methods achieve the best results when averaged across multiple classification and regression type predictive modeling problems. For example:

Use Random Forest: Testing 179 Classifiers on 121 Datasets
Start With Gradient Boosting, Results from Comparing 13 Algorithms on 165 Datasets

You can also get great results with state-of-the-art implementations of ensemble methods, such as the XGBoost library that is often used to win machine learning competitions.
You can get started with XGBoost here:

Get Started With XGBoost in Python

"
aHow do I use LSTMs for multi-step time series forecasting?,"LSTMs and other types of neural networks can be used to make multi-step forecasts on time series datasets.
To get started with using deep learning methods (MLPs, CNNs, and LSTMs) for time series forecasting, start here:

Start Here: Deep Learning for Time Series Forecasting 

For a specific tutorial on using LSTMs for time series forecasting, including multi-step forecasting, see this post:

How to Develop LSTM Models for Time Series Forecasting

For a specific tutorial on LSTMs applied to a multivariate input and multi-step forecast problem, see this tutorial:

How to Develop LSTM Models for Multi-Step Time Series Forecasting of Household Power Consumption

For more help on multi-step forecasting strategies in general, see the post:

4 Strategies for Multi-Step Time Series Forecasting

"
aHow do I use LSTMs for time series forecasting?,"You can get started using deep learning methods such as MLPs, CNNs and LSTMs for univariate, multivariate and multi-step time series forecasting here:

Deep Learning for Time Series Forecasting

 
"
aHow do I work through my predictive modeling project?,"I have a process that is recommended when working through a new predictive modeling project that will help you work through your project systematically.
You can read about it here:

Applied Machine Learning Process

I hope that helps as a start.
"
aHow do I work with a very large dataset?,"I generally recommend working with a small sample of your dataset that will fit in memory.
I recommend this because it will accelerate the pace at which you learn about your problem:

It is fast to test different framings of the problem.
It is fast to summarize and plot the data.
It is fast to test different data preparation methods.
It is fast to test different types of models.
It is fast to test different model configurations.

The lessons that you learn with a smaller sample often (but not always) translate to modeling with the larger dataset.
You can then scale up your model later to use the entire dataset, perhaps trained on cloud infrastructure such as Amazon EC2.
There are also many other options if you are intersted in training with a large dataset. I list 7 ideas in this post:

7 Ways to Handle Large Data Files for Machine Learning

"
aHow does k-fold cross-validation work?,"The k-fold cross-validation method is used to estimate the skill of a model when making predictions on new data.
It is a resampling method, which makes efficient use of your small training dataset to evaluate a model.
It works by first splitting your training dataset into k groups of the same size. A model is trained on all but one of these groups, and then is evaluated on the hold out group. This process is repeated so that each of the k sub-groups of the training dataset is given a chance to be used as a the hold-out test set.
This means that k-fold cross-validation will train and evaluate k models and give you k skill scores (e.g. accuracy or error). You can then calculate the average and standard deviation of these scores to get a statistical impression of how well the model performs on your data.
You can learn more about how k-fold cross-validation works here:

A Gentle Introduction to k-fold Cross-Validation

You can learn more about how to implement k-fold cross-validation in these posts:

How To Create an Algorithm Test Harness From Scratch With Python
How to Implement Resampling Methods From Scratch In Python
Evaluate the Performance of Machine Learning Algorithms in Python using Resampling
How To Estimate Model Accuracy in R Using The Caret Package
How To Choose The Right Test Options When Evaluating Machine Learning Algorithms

The models created during k-fold cross-validation are discarded. When you choose a model and set of parameters, you can train a final model using all of the training dataset.
Learn more about training final models here:

How to Train a Final Machine Learning Model

"
aHow is data processed by an LSTM?,"Consider an LSTM layer.



		
		
			
			
			
			
...
LSTM(10, input_shape=(100, 1))
...
			
				
					
				
					123
				
						...LSTM(10, input_shape=(100, 1))...
					
				
			
		

What do we know about this vanilla LSTM layer:

The layer has multiple nodes or units (e.g. 10).
The layer will received an input sequence (e.g. 100 steps with 1 feature per sep).
The will output a vector (e.g. 10 elements).

How does the layer process the input sequence?
Each node in the layer is like a mini-network. Each node is exposed to the input sequence and produces an output. This is the biggest point of confusion for beginners, and it means that the number of nodes in the layer is unrelated to the number of time steps in the input sequence.
The input sequence is processed one time step at a time. We may provide the entire input sequence to the layer via the API for efficiency reasons, or we may provide the input sequence to the mode one step at a time, a so-called dynamic RNN, which is less efficient but more flexible. The former is more common and is the approach I use in almost all of my tutorials.
Each step of input for a node results in an output and an internal state. Both are used in the processing of the subsequent time step and are held within the layer. By default, only the last output from the end of the sequence is the actual output provided by the node. This can be changed to return the output from each input time step (e.g. setting return_sequence=True) and must be changed to do this when stacking LSTM layers.
Nevertheless, by default, each node in the layer outputs one value after processing the sequence. Therefore, the number of nodes in the layer determines the number of elements in the vector output from the layer.
"
aHow many layers and nodes do I need in my neural network?,"More nodes and layers means more capacity for the network to learn, but results in a model that is more challenging and slower to train.
You must find the right balance of network capacity and trainability for your specific problem.
There is no reliable analytical way to calculate the number of nodes or the number of layers required in a neural network for a specific predictive modeling problem.
My general suggestion is to use experimentation to discover what configuration works best for your problem.
This post has advice on systematically evaluating neural network models:

How to Evaluate the Skill of Deep Learning Models

Some further ideas include:

Use intuition about the domain or about how to configure neural networks.
Use deep networks, as empirically, deeper networks have been shown to perform better on hard problems.
Use ideas from the literature, such as papers published on predictive problems similar to your problem.
Use a search across network configurations, such as a random search, grid search, heuristic search, or exhaustive search.
Use heuristic methods to configure the network, there are hundreds of published methods, none appear reliable to me.

More information here:

How to Configure the Number of Layers and Nodes in a Neural Network

Regardless of the configuration you choose, you must carefully and systematically evaluate the configuration of the model on your dataset and compare it to a baseline method in order to demonstrate skill.
"
aHow much training data do I need?,"The amount of training data that you need depends both on the complexity of your problem and on the complexity of your chosen algorithm.
I provide a comprehensive answer to this question in the following post:

How Much Training Data is Required for Machine Learning?

"
aHow to develop forecast models for multiple sites?,"There are time series forecasting problems where you may have data from multiple sites.
For example, forecasting temperature for multiple cities.
We can think of this as multi-site time series forecasting.
Some general approaches that you could explore for multi-site forecasting include:

Develop one model per site.
Develop one model per group of sites.
Develop one model for all sites.
Hybrid of the above.
Ensemble of the above.

It may not be clear which approach may be most suitable to your problem. I recommend prototyping a few different approaches in order to discover what works best for your specific dataset.
"
aHow to set axis for NumPy arrays?,"Operations like sum and mean on NumPy arrays can be performed array-wise, column-wise and row-wise.
This is achieved by setting the “axis” argument when calling the function, e.g. sum(axis=0).
There are three axis values you may want to use, as follows:

axis=None: Apply operation array-wise.
axis=0: Apply operation column-wise, across all rows for each column.
axis=1: Apply operation row-wise, across all columns for each row.

For more information see:

NumPy Glossary

"
aHow to you stay up-to-date with machine learning?,"Generally, I don’t read the latest bleeding edge papers.
This is for a few reasons:

Most papers are not reproducible.
Most papers are badly written.
Most papers will not be referenced or used by next year.

I try to focus my attention on the methods that prove useful and relevant after a few years.
These are the methods that:

Are used to do well in machine learning competitions.
Appear in open source libraries and packages.
Are used and discussed broadly by other practitioners.

"
aI think you meant “pandas.tools.plotting.scatter_matrix”?,"Please note that “pandas.plotting.scatter_matrix” is the correct API for the most recent version of Pandas.
If you are using “pandas.tools.plotting.scatter_matrix” you will need to update your version of Pandas.
You can learn more about the updated API here.
"
aShould I code algorithms from scratch?,"Probably not.
If you have a problem to solve, do not code machine learning algorithms from scratch. Your implementation will probably be slow and full of bugs. Software engineering is really hard.
If you are working on a project that has to be used in production, does it make sense to:

Implement your own compiler?
Implement your own quick sort?
Implement your own graphical user interface toolkit?

In almost all cases, the answer is: no, are you crazy?
Use an open source library with an efficient and battle-tested implementation of the algorithms you need.
I write more about this here:

Stop Coding Machine Learning Algorithms From Scratch

If you want to learn more about how an algorithm works, yes, implementing algorithms from scratch is a wonderful idea. Go for it!
In fact, for developers, I think coding algorithms from scratch is the best way to learn about machine learning algorithms and how they work. I even have a few books on the topic showing you how.
I write more about this here:

Understand Machine Learning Algorithms By Implementing Them From Scratch
How to Implement a Machine Learning Algorithm
Benefits of Implementing Machine Learning Algorithms From Scratch

"
aWhat are “small projects”?,"I recommend an approach to self-study that I call “small projects” or the “small project methodology” (early customers may remember that I even used to sell a guide by this name).
The small project methodology is an approach that you can use to very quickly build up practical skills in technical fields of study, like machine learning. The general idea is that you design and execute small projects that target a specific question you want to answer. You can learn more about this approach to studying machine learning here:

Self-Study Guide to Machine Learning

Small projects are small in a few dimensions to ensure that they are completed and that you extract the learning benefits and move onto the next project.
Below are constraints you should consider imposing on your projects:

Small in time.
Small in scope.
Small in resources.

You can learn more about small projects here:

4 Self-Study Machine Learning Projects

I recommend that each project have a well defined deliverable, such as a program, blog post, API function, etc.
By having a deliverable, it allows you to build up a portfolio of “work product” that you can both leverage on future small projects and use to demonstrate your growing capabilities.
You can learn more about building a portfolio here:

Build a Machine Learning Portfolio

"
aWhat are the machine learning basics I need to know?,"I generally recommend that developers start in machine learning by focusing on how to work through predictive modeling problems end-to-end.
Everything makes sense through this lens, and it focuses you on the parts of machine learning you need to know in order to be able to deliver results.
I outline this approach here:

How to Get Started in Machine Learning

Nevertheless, there are some machine learning basics that you need to know. They can come later, but some practitioners may prefer to start with them.
You need to know what machine learning is:

What is Machine Learning?

You need to know that machine learning finds solutions to complex problems, that you probably cannot solve with custom code and lots of if-statements:

Machine Learning Matters

You need to get a feeling for the types of problems that can be addressed with machine learning:

Tour of Real-World Machine Learning Problems
Practical Machine Learning Problems
8 Inspirational Applications of Deep Learning

You need to know about the ways that algorithms can learn:

Supervised and Unsupervised Machine Learning Algorithms

You need to know about the types of machine learning algorithms that you can use:

A Tour of Machine Learning Algorithms

You need to know how machine learning algorithms work, in general:

How Machine Learning Algorithms Work

That is a good coverage of the absolute basics. Here are some additional good overviews:

Data, Learning and Modeling
Basic Concepts in Machine Learning

The rest, such as how to work through a predictive modeling problems, algorithm details, and platform details can be found here:

Start Here with Machine Learning

"
aWhat are the prerequisites for machine learning?,"It really depends on your goals.
If you want to be a machine learning practitioner or machine learning engineer, then what you need to know is very different from a machine learning academic.
The huge problem is, universities are training machine learning academics, not machine learning practitioners.
When a developer thinks about getting started in machine learning, they look to the university curriculum of math, and they think that they need to study math.
This is not true.
Start by figuring out your goals, what you want to do with machine learning. I write about this here:

Find Your Machine Learning Tribe

This website is about helping developers get started and get good at applied machine learning.
As such, I assume you know about being a developer, this means:

You probably know how to write code (but this is not required).
You probably know how to install and manage software on your workstation.
You probably use computational thinking when approaching problems.

Does this describe you? If so, I’m one of you. This is who we are. We’re developers.
You’re in the right place! Now, it’s time to get started.
"
aWhat are X and y in machine learning?,"Machine learning algorithms learn how to map examples of input to examples of output.
This is useful because in the future we can give new examples of input and the model can predict the output.
Therefore, when we train a model, we must separate our data (rows) into input and output elements (columns)
Input is referred to as “X”, output is referred to as “y”, and predictions made by the model are its approximation of “y” that we call “yhat”.

X: The input component of rows of data.
y: The output component of rows of data.

"
aWhat data preparation method should I use?,"Data preparation involves transforming raw data into a form or format such that it is ready to use as input for fitting a model.
For example, in machine learning and deep learning with tabular datasets (e.g. like data in a spreadsheet), each column of data might be standardized or normalized.
There are many types of data preparation that you might perform, and some algorithms expect some data preparation.
For example, algorithms that use distance calculations such as kNN and SVM may perform better if input variables with different scales (e.g. feet, hours, etc.) are normalized to the range between 0-1. Algorithms that weight inputs such as linear regression, logistic regression, and neural networks may also prefer input variables to be normalized.
Some input variables or output variables may have a specific data distribution, such as a Gaussian distribution. For those algorithms that prefer scaled input variables, it may be better to center or standardize the variable instead of normalizing it.
Further, some algorithms assume a specific data distribution. For example, linear algorithms like linear regression may assume input variables have a Gaussian distribution.
As we can see, the type of data preparation depends both on the choice of model and on the specific data that you are modeling.
To make things more complicated, sometimes better or best results can be achieved by ignoring the assumptions or expectations of an algorithm.
Therefore, in general, I recommend testing (prototyping or spot-checking) a suite of different data preparation techniques with a suite of different algorithms in order to learn about what might work well for your specific predictive modeling problem.
For more on what data preparation methods to use, see the tutorial:

How to Choose Data Preparation Methods for Machine Learning

"
aWhat deep learning library do you recommend?,"I recommend the Keras library for deep learning.
It provides an excellent trade-off of power and ease-of-use.
Keras wraps powerful computational engines, such as Google’s TensorFlow library, and allows you to create sophisticated neural network models such as Multilayer Perceptrons, Convolutional Neural Networks and Recurrent Neural Networks with just a few lines of code.
You can get started with Keras in Python here:

Get Started With Deep Learning in Python

"
aWhat does it mean if I have 0 error or 100% accuracy?,"You may be working on a regression problem and achieve zero prediction errors.
Alternately, you may be working on a classification problem and achieve 100% accuracy.
This is unusual and there are many possible reasons for this, including:

You are evaluating model performance on the training set by accident.
Your hold out dataset (train or validation) is too small or unrepresentative.
You have introduced a bug into your code and it is doing something different from what you expect.
Your prediction problem is easy or trivial and may not require machine learning.

The most common reason is that your hold out dataset is too small or not representative of the broader problem.
This can be addressed by:

Using k-fold cross-validation to estimate model performance instead of a train/test split.
Gather more data.
Use a different split of data for train and test, such as 50/50.

"
aWhat does verbose mean in Keras?,"Verbose is an argument in Keras on functions such as fit(), evaluate(), and predict().
It controls the output printed to the console during the operation of your model.
Verbose takes three values:

verbose=0: Turn off all verbose output.
verbose=1: Show a progress bar for each epoch.
verbose=2: Show one line of output for each epoch.

When verbose output is turned on, it will include a summary of the loss for the model on the training dataset, it may also show other metrics if they have been configured via the metrics argument.
The verbose argument does not affect the training of the model. It is not a hyperparameter of the model.
Note, that if you are using an IDE or a notebook, verbose=1 can cause issues or even errors during the training of your model. I recommend turning off verbose output if you are using an IDE or a notebook.
"
aWhat feature importance method should I use?,"Feature importance methods suggest the relative importance of each feature to the target variable.
The importance scores could be calculated using a statistical method (such as correlation or mutual information) or by a model such as an ensemble of decision trees.
Each feature importance method provides a different “view” on the relative importance of input variables that might be relevant to your predictive modeling problem.
As such, there is no objectively “best” feature importance method.
Further, the scores are relative, not absolute. As such, scores calculated by one method cannot be meaningfully compared to scores calculated by another method.
Your task as a machine learning practitioner is to best use these suggestions in the development of your model.
One approach might be to create a model from each view of your data and ensemble the predictions of these models together.
Another approach might be to evaluate the skill of a model developed from each view of the data and to use the features that result in a model with the best skill.
If you need to describe the importance of input variables to project stakeholders, perhaps you can look for how the performance of your specific final model varies with and without each input variable via an ablation study. Alternately, perhaps you can report on how a suite of different feature importance methods comment on your input data.
For more help on feature importance, see the post:

How to Calculate Feature Importance With Python

"
aWhat feature selection method should I use?,"Feature selection methods suggest a subset of input features that you may use to model your predictive modeling problem.
Each feature selection method provides a different “view” on the input variables that might be relevant to your predictive modeling problem.
As such, there is no objectively “best” feature selection method.
Your task as a machine learning practitioner is to best use these suggestions in the development of your model.
One approach might be to create a model from each view of your data and ensemble the predictions of these models together.
Another approach might be to evaluate the skill of a model developed from each view of the data and to use the features that result in a model with the best skill.
For more help on feature selection, see the post:

How to Choose a Feature Selection Method For Machine Learning

"
aWhat if I don’t know programming?,"If you are interested in applied machine learning but don’t know how to write code, a great place for you to start would be with Weka machine learning workbench.
Weka provides a graphical user interface and does not require any programming. You can use it to work through predictive modeling problems end-to-end very quickly.
You can get started with Weka here:

Get Started With Weka

"
aWhat if I’m not a developer?,"You can get started and get good at applied machine learning, even if you are not a developer.
I describe my approach to teaching machine learning as an “approach for developers“, but it will work just as fine for non-developers, such as engineers, analysts, designers, etc.
When I describe the material as “being for developers“, I mean a few things:

You are comfortable with computational thinking, such as abstraction, decomposition, procedures, etc.
You are comfortable with challenging open problems, such as designing and implementing a solution.
You are interested in solving problems for stakeholders, delivering results, working on projects.

Developers have these properties, but so do non-developers.
I have material that does not require any skill in programming, for example:

You can use Weka to work through predictive modeling problems without writing a line of code. (learn more)
You can learn how machine learning algorithms work using simple arithmetic and worked examples in spreadsheets. (learn more)

Many of my tutorials are written for practitioners who are comfortable with programming.
A good palce to start if you know a little programming is machine learning with Python. Python is really easy to use and writes like pseudocode.

Get Started With Machine Learning in Python

"
aWhat if model skill on the test dataset is better than the training dataset?,"Typically, a model is overfit if the skill of the model is better on the training dataset than on the test dataset.
If the model skill is poor on both the training and the test datasets, the model may be underfit.
Sometimes, it can be the case that the skill of the model is better on the test dataset than on the training dataset.
This is likely because the test dataset is not representative of the broader prediction problem, for example the size of the test dataset is too small.
To remedy this problem, I would recommend experimenting with different variations of the test harness, including at least different or different sized train and test datasets and different model configurations.
"
aWhat is a confusion matrix?,"A confusion matrix is a way of presenting the results of a classifier in the context of what was really observed.
Results are presented in a table showing the breakdown of the categorical outcome variable by value or level, comparing the frequency of observed values to the frequency of predicted values.
Often the observed frequencies are presented in columns and predicted frequencies are presented as rows, for example:



		
		
			
			
			
			
		men	women
men		3	1
women	2	4
			
				
					
				
					123
				
								men	womenmen		3	1women	2	4
					
				
			
		

Ideally, the predicted frequency would match the expected frequency and show number in the diagonal from the top left to the bottom right of the table and zeros every where else.
A confusion matrix is useful as it allows you to quickly see the distribution of the types of errors made by a classifier on a classification predictive modeling problem.
For more information and worked examples see the post:

What is a Confusion Matrix in Machine Learning

"
aWhat is a target variable?,"Machine learning models learn how to map examples of input to examples of output from historical training data.
In mathematics, this is referred to a function approximation. That is machine learning models approximate a mapping function from inputs to outputs.
The target variable in a dataset is the variable (column or feature) in the dataset that is will be the output of the model. It is the thing to be predicted.

If the target is numeric (like 44.2), the prediction problem is referred to as regression.
If the target variable is a category (like “blue”), the prediction problem is referred to as classification.

Sometimes a target variable may be numeric but represent a nominal category, such as if “yes” was mapped to 1 and “no” was mapped to 0. The problem would still be considered a classification problem.
Sometimes a target variable may be numeric and may represent an ordinal category. This means we could choose to model the problem as either classification or regression. An example might be a target variable that is comprised of integer measurements from 1 to 10, where each value could be treated as a number for regression or a label for classification.
In a tabular dataset, such as a table or matrix of data, a target variable is a column of values.
It is common for the target variable to be in the same file as the input variables. It is also common for the target variable to be the last column in the file. This is best practice when storing datasets in files, like CSV files, but is not always the case.
If you collect the data yourself, you will know the target variable, because you have defined what the inputs and outputs for the problem will be.
If you are using a standard dataset, it is common for the dataset to have a description accompanying it, or for the dataset to be well described in the first publication or paper that uses the dataset. This description will mention the name or column in the dataset that is the target variable.
"
